Country,"Density(P/Km2)",Agricultural Land(%),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change(%)
Slovenia,103,30.70,"20,273","7,000",9.4,386,Ljubljana,"12,633",111.05,1.60
Solomon Islands,25,3.90,"28,896",,32.44,677,Honiara,169,133.06,1.60
Somalia,25,70.30,"637,657","20,000",41.75,252,Mogadishu,645,,
South Africa,49,79.80,"1,219,090","80,000",20.51,27,Pretoria,"476,644",158.93,4.10
South Korea,527,17.40,"99,720","634,000",6.4,82,Seoul,"620,302",115.16,0.40
South Sudan,18,,"644,329","185,000",35.01,211,Juba,"1,727","4,583.71",187.90
Spain,94,52.60,"505,370","196,000",7.9,34,Madrid,"244,002",110.96,0.70
Sri Lanka,341,43.70,"65,610","317,000",15.83,94,Colombo,"23,362",155.53,3.50
Sudan,25,28.70,"1,861,484","124,000",32.18,249,Khartoum,"20,000","1,344.19",51.00
Suriname,4,0.60,"163,820","2,000",18.54,597,Paramaribo,"1,738",294.66,22.00
Sweden,25,7.40,"450,295","30,000",11.4,46,Stockholm,"43,252",110.51,1.80
Switzerland,219,38.40,"41,277","21,000",10,41,Bern,"34,477",99.55,0.40
Syria,95,75.80,"185,180","239,000",23.69,963,Damascus,"28,830",143.2,36.70
Tajikistan,68,34.10,"144,100","17,000",30.76,992,Dushanbe,"5,310",148.57,6.00
Tanzania,67,44.80,"947,300","28,000",36.7,255,Dodoma,"11,973",187.43,3.50
Thailand,137,43.30,"513,120","455,000",10.34,66,Bangkok,"283,763",113.27,0.70
East Timor,89,25.60,"14,874","2,000",29.42,670,Dili,495,145.38,2.60
Togo,152,70.20,"56,785","10,000",33.11,228,Lom�,"3,000",113.3,0.70
Tonga,147,45.80,747,,24.3,676,Nuku����,128,121.09,7.40
Trinidad and Tobago,273,10.50,"5,128","4,000",12.94,1,Port of Spain,"43,868",141.75,1.00
Tunisia,76,64.80,"163,610","48,000",17.56,216,Tunis,"29,937",155.33,6.70
Turkey,110,49.80,"783,562","512,000",16.03,90,Ankara,"372,725",234.44,15.20
Turkmenistan,13,72.00,"488,100","42,000",23.83,993,Ashgabat,"70,630",,
Tuvalu,393,60.00,26,,,688,Funafuti,11,,
Uganda,229,71.90,"241,038","46,000",38.14,256,Kampala,"5,680",173.87,2.90
Ukraine,75,71.70,"603,550","297,000",8.7,380,Kyiv,"202,250",281.66,7.90
United Arab Emirates,118,5.50,"83,600","63,000",10.33,971,Abu Dhabi,"206,324",114.52,-1.90
United Kingdom,281,71.70,"243,610","148,000",11,44,London,"379,025",119.62,1.70
United States,36,44.40,"9,833,517","1,359,000",11.6,1,"Washington, D.C.","5,006,302",117.24,7.50
Uruguay,20,82.60,"176,215","22,000",13.86,598,Montevideo,"6,766",202.92,7.90
Uzbekistan,79,62.90,"447,400","68,000",23.3,998,Tashkent,"91,811",,
Vanuatu,25,15.30,"12,189",,29.6,678,Port Vila,147,117.13,2.80
Venezuela,32,24.50,"912,050","343,000",17.88,58,Caracas,"164,175","2,740.27",254.90
Vietnam,314,39.30,"331,210","522,000",16.75,84,Hanoi,"192,668",163.52,2.80
Yemen,56,44.60,"527,968","40,000",30.45,967,Sanaa,"10,609",157.58,8.10
Zambia,25,32.10,"752,618","16,000",36.19,260,Lusaka,"5,141",212.31,9.20
Zimbabwe,38,41.90,"390,757","51,000",30.68,263,Harare,"10,983",105.51,0.90
